Table Range A2:AS541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTY,JURS NAME,Planning period progress,Planning Period Length (Years),Planning Period Half-Way Point,1st APR,Last APR,Planning period beginning,Planning period end,Planning period,RHNA VLI,VLI PERMITS,VLI DR UNITS,VLI (NDR) UNITS,VLI REMAINING UNITS,VLI % Complete,Prorated VLI RHNA,Excess VLI,RHNA LI,LI PERMITS,LI (DR) UNITS,LI (NDR) UNITS,LI REMAINING UNITS,Lower Permits,Lower Remain,LI % Complete,% Lower Complete,RHNA MOD,MOD PERMITS,MOD REMAINING UNITS,MOD % Complete,RHNA ABOVE MOD,ABOVE MOD PERMITS,ABOVE MOD REMAINING UNITS,ABOVE MOD % Complete,RHNA TOTAL,TOTAL PERMITS,TOTAL RHNA REMAIN,PRORATION FACTOR,10%,50%,EXEMPT,STATUS,Exempt but for 2019 APR,50% but for 2019 APR
SANTA BARBARA,LOMPOC,62.50%,8,2019,2015,2022,2/15/15,2/15/23,15-FEB-15 - 15-FEB-23,126,0,0,0,126,0.00%,63,0,84,0,0,0,84,0,84,0.00%,0.00%,95,49,46,51.58%,221,4,217,1.81%,526,53,473,0.5,YES,NO,NO,Successful,NO,NO
LOS ANGELES,LONG BEACH,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1773,295,295,0,1478,16.64%,887,0,1066,26,26,0,1040,26,1040,2.44%,2.44%,1170,0,1170,0.00%,3039,1329,1710,43.73%,7048,1650,5398,0.5,YES,NO,NO,Successful,NO,NO
PLACER,LOOMIS,75.00%,8,2018,2014,2021,10/31/13,10/31/21,31-OCT-13 - 31-OCT-21,39,0,0,0,39,0.00%,20,0,27,0,0,0,27,0,27,0.00%,0.00%,29,1,28,3.45%,59,11,48,18.64%,154,12,142,0.5,YES,NO,NO,Successful,NO,NO
ORANGE,LOS ALAMITOS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,14,0,0,0,14,0.00%,7,0,10,0,0,0,10,0,10,0.00%,0.00%,11,0,11,0.00%,26,5,21,19.23%,61,5,56,0.5,YES,NO,NO,No 2019 APR,NO,NO
SANTA CLARA,LOS ALTOS,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,169,2,2,0,167,1.18%,85,0,99,28,20,8,71,28,71,28.28%,28.28%,112,2,110,1.79%,97,428,0,441.24%,477,460,348,0.5,NO,YES,NO,Successful,NO,YES
SANTA CLARA,LOS ALTOS HILLS,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,46,8,5,3,38,17.39%,23,0,28,3,2,1,25,3,25,10.71%,10.71%,32,3,29,9.38%,15,27,0,180.00%,121,41,92,0.5,NO,YES,NO,Successful,NO,YES
LOS ANGELES,LOS ANGELES,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,20427,3164,3164,0,17263,15.49%,10214,0,12435,2262,2262,0,10173,2262,10173,18.19%,18.19%,13728,262,13466,1.91%,35412,54151,0,152.92%,82002,59839,40902,0.5,NO,YES,NO,Successful,NO,YES
LOS ANGELES,LOS ANGELES COUNTY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,7359,580,580,0,6779,7.88%,3680,0,4251,108,108,0,4143,108,4143,2.54%,2.54%,4898,0,4898,0.00%,10749,3545,7204,32.98%,27257,4233,23024,0.5,YES,NO,NO,Successful,NO,NO
MERCED,LOS BANOS,50.00%,8,2020,2016,2023,3/31/16,3/31/24,31-MAR-16 - 31-MAR-24,604,41,41,0,563,6.79%,302,0,431,22,21,1,409,22,409,5.10%,5.10%,396,13,383,3.28%,1049,667,382,63.58%,2480,743,1737,0.5,NO,YES,NO,Successful,NO,YES
SANTA CLARA,LOS GATOS,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,201,0,0,0,201,0.00%,101,0,112,2,2,0,110,2,110,1.79%,1.79%,132,25,107,18.94%,174,76,98,43.68%,619,103,516,0.5,YES,NO,NO,Successful,NO,NO
SIERRA,LOYALTON,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,1,,,,1,,1,0,1,,,,1,0,1,,0.00%,1,,1,,1,,1,,4,,4,1,YES,NO,NO,No 2019 APR,NO,NO
LOS ANGELES,LYNWOOD,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,123,,,,123,,62,0,72,,,,72,0,72,,0.00%,81,,81,,218,,218,,494,,494,0.5,YES,NO,NO,Successful,NO,NO
MADERA,MADERA,50.00%,8,2020,2016,2023,1/31/16,1/31/24,31-JAN-16 - 31-JAN-24,1352,127,17,110,1225,9.39%,676,0,1056,613,253,360,443,613,443,58.05%,58.05%,1091,208,883,19.07%,2600,219,2381,8.42%,6099,1167,4932,0.5,YES,NO,NO,Successful,NO,NO
MADERA,MADERA COUNTY,50.00%,8,2020,2016,2023,1/31/16,1/31/24,31-JAN-16 - 31-JAN-24,1285,0,0,0,1285,0.00%,643,0,984,41,20,21,943,41,943,4.17%,4.17%,1015,0,1015,0.00%,2398,923,1475,38.49%,5682,964,4718,0.5,YES,NO,NO,Successful,NO,NO
LOS ANGELES,MALIBU,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1,0,0,0,1,0.00%,1,0,1,0,0,0,1,0,1,0.00%,0.00%,0,0,0,0.00%,0,49,0,0.00%,2,49,2,0.5,NO,YES,NO,Successful,NO,YES
MONO,MAMMOTH LAKES,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,17,0,0,0,17,0.00%,17,0,12,0,0,0,12,0,12,0.00%,0.00%,14,0,14,0.00%,31,109,0,351.61%,74,109,43,1,NO,YES,NO,Successful,NO,YES
LOS ANGELES,MANHATTAN BEACH,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,10,0,0,0,10,0.00%,5,0,6,0,0,0,6,0,6,0.00%,0.00%,7,0,7,0.00%,15,280,0,1866.67%,38,280,23,0.5,NO,YES,NO,Successful,NO,YES
SAN JOAQUIN,MANTECA,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,925,4,0,4,921,0.43%,463,0,693,5,0,5,688,5,688,0.72%,0.72%,825,186,639,22.55%,1958,990,968,50.56%,4401,1185,3216,0.5,NO,YES,NO,Successful,NO,YES
KERN,MARICOPA,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,11,0,0,0,11,0.00%,6,0,5,0,0,0,5,0,5,0.00%,0.00%,6,0,6,0.00%,14,0,14,0.00%,36,0,36,0.5,YES,NO,NO,Successful,NO,NO
MARIN,MARIN COUNTY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,55,19,8,11,36,34.55%,28,0,32,19,7,12,13,19,13,59.38%,59.38%,37,19,18,51.35%,61,135,0,221.31%,185,192,67,0.5,NO,YES,NO,Successful,NO,YES
MONTEREY,MARINA,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,315,42,1,41,273,13.33%,158,0,206,6,1,5,200,6,200,2.91%,2.91%,239,147,92,61.51%,548,354,194,64.60%,1308,549,759,0.5,NO,YES,NO,Successful,NO,YES
MARIPOSA,MARIPOSA COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,265,0,0,0,265,0.00%,265,0,130,0,0,0,130,0,130,0.00%,0.00%,180,126,54,70.00%,420,117,303,27.86%,995,243,752,1,YES,NO,NO,Successful,NO,NO
CONTRA COSTA,MARTINEZ,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,124,0,0,0,124,0.00%,62,0,72,0,0,0,72,0,72,0.00%,0.00%,78,1,77,1.28%,195,49,146,25.13%,469,50,419,0.5,YES,NO,NO,Successful,NO,NO
YUBA,MARYSVILLE,75.00%,8,2018,2014,2021,10/31/13,10/31/21,31-OCT-13 - 31-OCT-21,12,0,0,0,12,0.00%,6,0,8,0,0,0,8,0,8,0.00%,0.00%,13,0,13,0.00%,39,1,38,2.56%,72,1,71,0.5,YES,NO,NO,Successful,NO,NO
LOS ANGELES,MAYWOOD,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,13,,,,13,,7,0,8,,,,8,0,8,,0.00%,9,,9,,23,,23,,53,,53,0.5,YES,NO,NO,Successful,NO,NO
KERN,MCFARLAND,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,93,6,0,6,87,6.45%,47,0,73,6,0,6,67,6,67,8.22%,8.22%,66,32,34,48.48%,79,7,72,8.86%,311,51,260,0.5,YES,NO,NO,Successful,NO,NO
MENDOCINO,MENDOCINO COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,40,55,55,0,0,137.50%,40,15,27,30,30,0,0,45,0,111.11%,166.67%,27,128,0,474.07%,74,237,0,320.27%,168,450,0,1,NO,NO,YES,Successful,YES,NO
FRESNO,MENDOTA,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,80,0,0,0,80,0.00%,40,0,56,0,0,0,56,0,56,0.00%,0.00%,77,61,16,79.22%,341,5,336,1.47%,554,66,488,0.5,YES,NO,NO,No 2019 APR,NO,NO
RIVERSIDE,MENIFEE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1488,11,0,11,1477,0.74%,744,0,1007,12,0,12,995,12,995,1.19%,1.19%,1140,703,437,61.67%,2610,1259,1351,48.24%,6245,1985,4260,0.5,YES,NO,NO,Successful,NO,NO
SAN MATEO,MENLO PARK,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,233,147,126,21,86,63.09%,117,30,129,38,23,15,91,68,61,29.46%,52.71%,143,4,139,2.80%,150,775,0,516.67%,655,964,316,0.5,NO,NO,YES,Successful,YES,NO
MERCED,MERCED,50.00%,8,2020,2016,2023,3/31/16,3/31/24,31-MAR-16 - 31-MAR-24,1351,0,0,0,1351,0.00%,676,0,966,0,0,0,966,0,966,0.00%,0.00%,886,163,723,18.40%,2348,1335,1013,56.86%,5551,1498,4053,0.5,NO,YES,NO,Successful,NO,YES
MERCED,MERCED COUNTY,50.00%,8,2020,2016,2023,3/31/16,3/31/24,31-MAR-16 - 31-MAR-24,1085,0,0,0,1085,0.00%,543,0,775,36,0,36,739,36,739,4.65%,4.65%,711,92,619,12.94%,1885,508,1377,26.95%,4456,636,3820,0.5,YES,NO,NO,Successful,NO,NO
MARIN,MILL VALLEY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,41,21,0,21,20,51.22%,21,0,24,19,0,19,5,19,5,79.17%,79.17%,26,13,13,50.00%,38,19,19,50.00%,129,72,57,0.5,NO,NO,YES,Successful,YES,NO
SAN MATEO,MILLBRAE,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,193,0,0,0,193,0.00%,97,0,101,0,0,0,101,0,101,0.00%,0.00%,112,0,112,0.00%,257,3,254,1.17%,663,3,660,0.5,YES,NO,NO,Successful,NO,NO
SANTA CLARA,MILPITAS,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,1004,10,10,0,994,1.00%,502,0,570,0,0,0,570,0,570,0.00%,0.00%,565,0,565,0.00%,1151,3080,0,267.59%,3290,3090,2129,0.5,NO,YES,NO,Successful,NO,YES
ORANGE,MISSION VIEJO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,42,13,13,0,29,30.95%,21,0,29,28,28,0,1,28,1,96.55%,96.55%,33,16,17,48.48%,73,805,0,1102.74%,177,862,47,0.5,NO,YES,NO,Successful,NO,YES
STANISLAUS,MODESTO,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,1546,0,0,0,1546,0.00%,773,0,991,61,55,6,930,61,930,6.16%,6.16%,1100,276,824,25.09%,2724,584,2140,21.44%,6361,921,5440,0.5,YES,NO,NO,Successful,NO,NO
MODOC,MODOC COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,2,2,0,2,0,100.00%,2,0,2,7,0,7,0,7,0,350.00%,350.00%,1,28,0,2800.00%,5,5,0,100.00%,10,42,0,1,NO,NO,YES,Successful,YES,NO
MONO,MONO COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,11,0,0,0,11,0.00%,11,0,7,22,0,22,0,22,0,314.29%,314.29%,9,55,0,611.11%,19,44,0,231.58%,46,121,11,1,NO,YES,NO,Successful,NO,YES
LOS ANGELES,MONROVIA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,101,0,0,0,101,0.00%,51,0,61,0,0,0,61,0,61,0.00%,0.00%,65,4,61,6.15%,162,510,0,314.81%,389,514,223,0.5,NO,YES,NO,Successful,NO,YES
SISKIYOU,MONTAGUE,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,5,0,0,0,5,0.00%,5,0,3,0,0,0,3,0,3,0.00%,0.00%,3,0,3,0.00%,8,0,8,0.00%,19,0,19,1,YES,NO,NO,Successful,NO,NO
SAN BERNARDINO,MONTCLAIR,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,164,0,0,0,164,0.00%,82,0,114,0,0,0,114,0,114,0.00%,0.00%,125,0,125,0.00%,294,135,159,45.92%,697,135,562,0.5,YES,NO,NO,Successful,NO,NO
SANTA CLARA,MONTE SERENO,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,23,29,5,24,0,126.09%,12,17,13,1,1,0,12,18,0,7.69%,138.46%,13,1,12,7.69%,12,18,0,150.00%,61,49,24,0.5,NO,NO,YES,Successful,YES,NO
LOS ANGELES,MONTEBELLO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,269,,,,269,,135,0,161,,,,161,0,161,,0.00%,175,,175,,461,,461,,1066,,1066,0.5,YES,NO,NO,Successful,NO,NO
MONTEREY,MONTEREY,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,157,19,19,0,138,12.10%,79,0,102,0,0,0,102,0,102,0.00%,0.00%,119,2,117,1.68%,272,74,198,27.21%,650,95,555,0.5,YES,NO,NO,Successful,NO,NO
MONTEREY,MONTEREY COUNTY,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,374,219,44,175,155,58.56%,187,32,244,13,13,0,231,45,199,5.33%,18.44%,282,35,247,12.41%,651,1210,0,185.87%,1551,1477,633,0.5,NO,YES,NO,Successful,NO,YES
LOS ANGELES,MONTEREY PARK,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,205,0,0,0,205,0.00%,103,0,123,0,0,0,123,0,123,0.00%,0.00%,137,0,137,0.00%,350,14,336,4.00%,815,14,801,0.5,YES,NO,NO,Successful,NO,NO
VENTURA,MOORPARK,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,289,5,5,0,284,1.73%,145,0,197,18,18,0,179,18,179,9.14%,9.14%,216,9,207,4.17%,462,479,0,103.68%,1164,511,670,0.5,NO,YES,NO,Successful,NO,YES
CONTRA COSTA,MORAGA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,75,0,0,0,75,0.00%,38,0,44,0,0,0,44,0,44,0.00%,0.00%,50,1,49,2.00%,60,108,0,180.00%,229,109,168,0.5,NO,YES,NO,Successful,NO,YES
RIVERSIDE,MORENO VALLEY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1500,0,0,0,1500,0.00%,750,0,993,0,0,0,993,0,993,0.00%,0.00%,1112,84,1028,7.55%,2564,656,1908,25.59%,6169,740,5429,0.5,YES,NO,NO,Successful,NO,NO
SANTA CLARA,MORGAN HILL,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,273,41,41,0,232,15.02%,137,0,154,154,154,0,0,154,0,100.00%,100.00%,185,122,63,65.95%,316,1058,0,334.81%,928,1375,295,0.5,NO,YES,NO,Successful,NO,YES
SAN LUIS OBISPO,MORRO BAY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,39,0,0,0,39,0.00%,39,0,24,0,0,0,24,0,24,0.00%,0.00%,27,2,25,7.41%,65,38,27,58.46%,155,40,115,1,YES,NO,NO,Successful,NO,NO
SISKIYOU,MOUNT SHASTA,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,11,0,0,0,11,0.00%,11,0,7,0,0,0,7,0,7,0.00%,0.00%,8,4,4,50.00%,19,9,10,47.37%,45,13,32,1,YES,NO,NO,Successful,NO,NO
SANTA CLARA,MOUNTAIN VIEW,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,814,141,141,0,673,17.32%,407,0,492,170,169,1,322,170,322,34.55%,34.55%,527,0,527,0.00%,1093,2990,0,273.56%,2926,3301,1522,0.5,NO,YES,NO,Successful,NO,YES
RIVERSIDE,MURRIETA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,395,0,0,0,395,0.00%,198,0,262,0,0,0,262,0,262,0.00%,0.00%,289,0,289,0.00%,627,886,0,141.31%,1573,886,946,0.5,NO,YES,NO,Successful,NO,YES
NAPA,NAPA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,185,53,53,0,132,28.65%,93,0,106,22,22,0,84,22,84,20.75%,20.75%,141,4,137,2.84%,403,695,0,172.46%,835,774,353,0.5,NO,YES,NO,Successful,NO,YES
NAPA,NAPA COUNTY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,51,3,0,3,48,5.88%,26,0,30,1,0,1,29,1,29,3.33%,3.33%,32,52,0,162.50%,67,78,0,116.42%,180,134,77,0.5,NO,YES,NO,Successful,NO,YES
SAN DIEGO,NATIONAL CITY,87.50%,8,2017,2013,2020,4/30/13,4/30/21,30-APR-13 - 30-APR-21,465,45,45,0,420,9.68%,233,0,353,116,116,0,237,116,237,32.86%,32.86%,327,47,280,14.37%,718,238,480,33.15%,1863,446,1417,0.5,YES,NO,NO,Successful,NO,NO
SAN BERNARDINO,NEEDLES,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,38,0,0,0,38,0.00%,19,0,29,0,0,0,29,0,29,0.00%,0.00%,34,10,24,29.41%,80,13,67,16.25%,181,23,158,0.5,YES,NO,NO,Successful,NO,NO
NEVADA,NEVADA CITY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,19,0,0,0,19,0.00%,19,0,14,4,0,4,10,4,10,28.57%,28.57%,16,8,8,50.00%,36,1,35,2.78%,85,13,72,1,YES,NO,NO,Successful,NO,NO
NEVADA,NEVADA COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,174,53,7,46,121,30.46%,174,0,126,84,38,46,42,84,42,66.67%,66.67%,150,113,37,75.33%,314,269,45,85.67%,764,519,245,1,YES,NO,NO,Successful,NO,NO
ALAMEDA,NEWARK,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,330,0,0,0,330,0.00%,165,0,167,0,0,0,167,0,167,0.00%,0.00%,158,36,122,22.78%,423,514,0,121.51%,1078,550,619,0.5,NO,YES,NO,Successful,NO,YES
STANISLAUS,NEWMAN,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,186,0,0,0,186,0.00%,93,0,119,0,0,0,119,0,119,0.00%,0.00%,136,2,134,1.47%,337,48,289,14.24%,778,50,728,0.5,YES,NO,NO,Successful,NO,NO
ORANGE,NEWPORT BEACH,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1,91,91,0,0,9100.00%,1,90,1,0,0,0,1,90,0,0.00%,9000.00%,1,0,1,0.00%,2,1585,0,79250.00%,5,1676,2,0.5,NO,NO,YES,Successful,YES,NO
RIVERSIDE,NORCO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,205,0,0,0,205,0.00%,103,0,136,0,0,0,136,0,136,0.00%,0.00%,151,0,151,0.00%,326,2,324,0.61%,818,2,816,0.5,YES,NO,NO,Successful,NO,NO
LOS ANGELES,NORWALK,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,52,1,0,1,51,1.92%,26,0,31,0,0,0,31,0,31,0.00%,0.00%,33,15,18,45.45%,85,60,25,70.59%,201,76,125,0.5,NO,YES,NO,Successful,NO,YES
MARIN,NOVATO,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,111,29,23,6,82,26.13%,56,0,65,19,16,3,46,19,46,29.23%,29.23%,72,41,31,56.94%,167,53,114,31.74%,415,142,273,0.5,YES,NO,NO,Successful,NO,NO
STANISLAUS,OAKDALE,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,315,14,0,14,301,4.44%,158,0,202,44,0,44,158,44,158,21.78%,21.78%,210,84,126,40.00%,520,287,233,55.19%,1247,429,818,0.5,NO,YES,NO,Successful,NO,YES
ALAMEDA,OAKLAND,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,2059,575,575,0,1484,27.93%,1030,0,2075,194,194,0,1881,194,1881,9.35%,9.35%,2815,59,2756,2.10%,7816,11024,0,141.04%,14765,11852,6121,0.5,NO,YES,NO,Successful,NO,YES
CONTRA COSTA,OAKLEY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,317,8,8,0,309,2.52%,159,0,174,66,66,0,108,66,108,37.93%,37.93%,175,209,0,119.43%,502,681,0,135.66%,1168,964,417,0.5,NO,YES,NO,Successful,NO,YES
SAN DIEGO,OCEANSIDE,87.50%,8,2017,2013,2020,4/30/13,4/30/21,30-APR-13 - 30-APR-21,1549,267,244,23,1282,17.24%,775,0,1178,57,55,2,1121,57,1121,4.84%,4.84%,1090,149,941,13.67%,2393,527,1866,22.02%,6210,1000,5210,0.5,YES,NO,NO,Successful,NO,NO
VENTURA,OJAI,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,87,0,0,0,87,0.00%,44,0,59,0,0,0,59,0,59,0.00%,0.00%,70,13,57,18.57%,155,10,145,6.45%,371,23,348,0.5,YES,NO,NO,Successful,NO,NO
SAN BERNARDINO,ONTARIO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,2592,0,0,0,2592,0.00%,1296,0,1745,0,0,0,1745,0,1745,0.00%,0.00%,1977,1362,615,68.89%,4547,2006,2541,44.12%,10861,3368,7493,0.5,YES,NO,NO,Successful,NO,NO
ORANGE,ORANGE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,83,9,9,0,74,10.84%,42,0,59,72,72,0,0,72,0,122.03%,122.03%,66,608,0,921.21%,155,112,43,72.26%,363,801,117,0.5,NO,YES,NO,Successful,NO,YES
ORANGE,ORANGE COUNTY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1240,81,81,0,1159,6.53%,620,0,879,151,151,0,728,151,728,17.18%,17.18%,979,180,799,18.39%,2174,3274,0,150.60%,5272,3686,2686,0.5,NO,YES,NO,Successful,NO,YES
FRESNO,ORANGE COVE,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,111,0,0,0,111,0.00%,56,0,86,3,0,3,83,3,83,3.49%,3.49%,105,1,104,0.95%,367,0,367,0.00%,669,4,665,0.5,YES,NO,NO,Successful,NO,NO
CONTRA COSTA,ORINDA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,84,0,0,0,84,0.00%,42,0,47,0,0,0,47,0,47,0.00%,0.00%,54,27,27,50.00%,42,226,0,538.10%,227,253,158,0.5,NO,YES,NO,Successful,NO,YES
GLENN,ORLAND,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,20,0,0,0,20,0.00%,20,0,10,72,72,0,0,72,0,720.00%,720.00%,14,35,0,250.00%,36,0,36,0.00%,80,107,56,1,YES,NO,NO,Successful,NO,NO
BUTTE,OROVILLE,75.00%,8,2018,2014,2021,6/15/14,6/15/22,15-JUN-14 - 15-JUN-22,419,10,0,10,409,2.39%,210,0,284,67,50,17,217,67,217,23.59%,23.59%,306,0,306,0.00%,784,29,755,3.70%,1793,106,1687,0.5,YES,NO,NO,Successful,NO,NO
VENTURA,OXNARD,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1688,128,128,0,1560,7.58%,844,0,1160,508,419,89,652,508,652,43.79%,43.79%,1351,375,976,27.76%,3102,262,2840,8.45%,7301,1273,6028,0.5,YES,NO,NO,Successful,NO,NO
MONTEREY,PACIFIC GROVE,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,28,0,0,0,28,0.00%,14,0,18,0,0,0,18,0,18,0.00%,0.00%,21,7,14,33.33%,48,17,31,35.42%,115,24,91,0.5,YES,NO,NO,Successful,NO,NO
SAN MATEO,PACIFICA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,121,0,0,0,121,0.00%,61,0,68,0,0,0,68,0,68,0.00%,0.00%,70,6,64,8.57%,154,50,104,32.47%,413,56,357,0.5,YES,NO,NO,Successful,NO,NO
RIVERSIDE,PALM DESERT,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,98,38,38,0,60,38.78%,49,0,67,36,36,0,31,36,31,53.73%,53.73%,76,0,76,0.00%,172,395,0,229.65%,413,469,167,0.5,NO,YES,NO,Successful,NO,YES
RIVERSIDE,PALM SPRINGS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,63,0,0,0,63,0.00%,32,0,43,0,0,0,43,0,43,0.00%,0.00%,50,0,50,0.00%,116,770,0,663.79%,272,770,156,0.5,NO,YES,NO,Successful,NO,YES
LOS ANGELES,PALMDALE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1397,91,91,0,1306,6.51%,699,0,828,70,70,0,758,70,758,8.45%,8.45%,899,86,813,9.57%,2334,137,2197,5.87%,5458,384,5074,0.5,YES,NO,NO,Successful,NO,NO
SANTA CLARA,PALO ALTO,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,691,43,43,0,648,6.22%,346,0,432,58,58,0,374,58,374,13.43%,13.43%,278,42,236,15.11%,587,304,283,51.79%,1988,447,1541,0.5,NO,YES,NO,Successful,NO,YES
