"","city","latitude","longitude"
"172","Butte Meadows",40.09,-121.54
"173","Butte Valley",39.66,-121.64
"174","Buttonwillow",35.41,-119.44
"175","Byron",37.88,-121.64
"176","Bystrom",37.62,-120.98
"177","C-Road",39.76,-120.58
"178","Cabazon",33.91,-116.78
"179","Calabasas city",34.14,-118.67
"180","Calexico city",32.68,-115.49
"181","California City city",35.16,-117.87
"182","California Hot Springs",35.89,-118.66
"183","California Pines",41.41,-120.66
"184","Calimesa city",33.99,-117.05
"185","Calipatria city",33.15,-115.51
"186","Calistoga city",38.58,-122.58
"187","Callender",35.05,-120.58
"188","Calpella",39.23,-123.2
"189","Calpine",39.66,-120.44
"190","Calwa",36.71,-119.76
"191","Camanche North Shore",38.24,-120.95
"192","Camanche Village",38.27,-120.99
"193","Camarillo city",34.22,-119.03
"194","Cambria",35.55,-121.08
"195","Cambrian Park",37.26,-121.93
"196","Cameron Park",38.67,-120.99
"197","Camino",38.74,-120.68
"198","Camino Tassajara",37.79,-121.88
"199","Camp Nelson",36.14,-118.61
"200","Camp Pendleton North",33.31,-117.32
"201","Camp Pendleton South",33.23,-117.38
"202","Campbell city",37.28,-121.95
"203","Campo",32.64,-116.47
"204","Camptonville",39.45,-121.05
"205","Canby",41.45,-120.88
"206","Cantua Creek",36.5,-120.32
"207","Canyon Lake city",33.69,-117.26
"208","Canyondam",40.17,-121.08
"209","Capitola city",36.98,-121.95
"210","Caribou",40.08,-121.16
"211","Carlsbad city",33.12,-117.28
"212","Carmel Valley Village",36.48,-121.72
"213","Carmel-by-the-Sea city",36.55,-121.92
"214","Carmet",38.37,-123.07
"215","Carmichael",38.63,-121.32
"216","Carnelian Bay",39.23,-120.08
"217","Carpinteria city",34.38,-119.51
"218","Carrick",41.45,-122.36
"219","Carson city",33.84,-118.26
"220","Cartago",36.31,-118.03
"221","Caruthers",36.54,-119.85
"222","Casa Conejo",34.18,-118.94
"223","Casa de Oro-Mount Helix",32.76,-116.97
"224","Casmalia",34.84,-120.53
"225","Caspar",39.36,-123.8
"226","Cassel",40.92,-121.55
"227","Castaic",34.48,-118.63
"228","Castle Hill",37.87,-122.06
"229","Castro Valley",37.71,-122.06
"230","Castroville",36.77,-121.75
"231","Cathedral City city",33.84,-116.47
"232","Catheys Valley",37.44,-120.09
"233","Cayucos",35.44,-120.89
"234","Cazadero",38.53,-123.1
"235","Cedar Ridge",38.07,-120.27
"236","Cedar Slope",36.14,-118.58
"237","Cedarville",41.53,-120.17
"238","Centerville",36.74,-119.5
"239","Ceres city",37.6,-120.95
"240","Cerritos city",33.87,-118.07
"241","Chalfant",37.51,-118.38
"242","Challenge-Brownsville",39.46,-121.26
"243","Channel Islands Beach",34.16,-119.22
"244","Charter Oak",34.1,-117.86
"245","Cherokee",39.65,-121.53
"246","Cherokee Strip",35.47,-119.26
"247","Cherry Valley",33.98,-116.97
"248","Cherryland",37.68,-122.1
"249","Chester",40.3,-121.23
"250","Chico city",39.76,-121.82
"251","Chilcoot-Vinton",39.81,-120.14
"252","China Lake Acres",35.64,-117.77
"253","Chinese Camp",37.87,-120.44
"254","Chino city",33.98,-117.67
"255","Chino Hills city",33.95,-117.73
"256","Chowchilla city",37.11,-120.23
"257","Chualar",36.57,-121.51
"258","Chula Vista city",32.63,-117.01
"259","Citrus",34.12,-117.89
"260","Citrus Heights city",38.69,-121.29
"261","Claremont city",34.13,-117.72
"262","Clarksburg",38.42,-121.54
"263","Clay",38.31,-121.16
"264","Clayton city",37.94,-121.93
"265","Clear Creek",40.3,-121.05
"266","Clearlake city",38.96,-122.63
"267","Clearlake Oaks",39.02,-122.66
"268","Clearlake Riviera",38.95,-122.72
"269","Cleone",39.49,-123.78
"270","Clio",39.75,-120.57
"271","Clipper Mills",39.53,-121.17
"272","Cloverdale city",38.8,-123.02
"273","Clovis city",36.83,-119.69
"274","Clyde",38.03,-122.03
"275","Coachella city",33.69,-116.15
"276","Coalinga city",36.14,-120.33
"277","Coarsegold",37.25,-119.7
"278","Cobb",38.84,-122.72
"279","Coffee Creek",41.08,-122.71
"280","Cohasset",39.9,-121.74
"281","Cold Springs",38.75,-120.88
"282","Cold Springs",38.16,-120.05
"283","Coleville",38.58,-119.52
"284","Colfax city",39.09,-120.95
"285","College City",39.01,-122.01
"286","Collierville",38.21,-121.27
